movieId,title,genres,encoding
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.]
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance,[0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
597,Pretty Woman (1990),Comedy|Romance,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
608,Fargo (1996),Comedy|Crime|Drama|Thriller,[0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
733,"Rock, The (1996)",Action|Adventure|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
736,Twister (1996),Action|Adventure|Romance|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.]
778,Trainspotting (1996),Comedy|Crime|Drama,[0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
858,"Godfather, The (1972)",Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1036,Die Hard (1988),Action|Crime|Thriller,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1193,One Flew Over the Cuckoo's Nest (1975),Drama,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,[1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.]
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1213,Goodfellas (1990),Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1214,Alien (1979),Horror|Sci-Fi,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.]
1221,"Godfather: Part II, The (1974)",Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
1258,"Shining, The (1980)",Horror,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
1704,Good Will Hunting (1997),Drama|Romance,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
1721,Titanic (1997),Drama|Romance,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
2028,Saving Private Ryan (1998),Action|Drama|War,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
2329,American History X (1998),Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0.]
2858,American Beauty (1999),Drama|Romance,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
2959,Fight Club (1999),Action|Crime|Drama|Thriller,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3147,"Green Mile, The (1999)",Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3578,Gladiator (2000),Action|Adventure|Drama,[1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3793,X-Men (2000),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
4226,Memento (2000),Mystery|Thriller,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,[0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,[0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4963,Ocean's Eleven (2001),Crime|Thriller,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4995,"Beautiful Mind, A (2001)",Drama|Romance,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy,[0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,[1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,[1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.]
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
33794,Batman Begins (2005),Action|Crime,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
58559,"Dark Knight, The (2008)",Action|Crime|Drama,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
