userId,encoding
450,"[ 393.   240.    25.5    8.   639.5  477.5   29.  1579.   113.5   35.
  131.    20.   265.   336.5  269.5  649.   163.5   50. ]"
477,"[819.  544.  102.5 149.5 728.  372.   30.  750.  257.5   7.5 243.5  31.5
 214.  297.  385.  842.5  93.   26. ]"
494,"[859.  568.5  97.5 140.5 481.  442.    8.  800.5 263.   11.5 206.   35.5
 242.5 189.  484.5 849.   91.5  23. ]"
519,"[652.5 547.5 144.5 201.  580.5 186.5   8.  846.5 173.    7.  152.5 354.5
 105.5 290.  551.5 425.  472.5 350.5]"
541,"[1098.  1160.5  963.5  747.5 1261.   637.5   95.5 2340.   625.    51.
  112.   129.   361.5  733.   551.   783.   424.5  104. ]"
548,"[3423.5 1501.5  188.   415.5 3591.5 2094.     6.5 4403.   913.    51.5
 1794.   110.  1005.5 1414.  1375.  4046.   379.   123.5]"
572,"[814.  558.5  92.  127.5 852.  460.5  20.  892.5 180.   31.5 160.5  76.
 131.  277.  410.  611.5 171.5 126. ]"
597,"[478.5 633.  384.5 421.  968.5 196.5   4.  616.  450.   13.  154.5 224.5
  92.  385.5 374.  318.   41.   39. ]"
606,"[1677.5 1308.   381.   544.5 1984.5  582.     4.   962.5  680.5    0.
  147.5  113.   175.5  498.5  711.   843.   134.    67. ]"
626,"[1302.  1345.   336.   786.  2512.5  571.    66.  2743.5  681.5   30.5
  352.   546.5  365.5 1363.5  866.  1008.   373.   234.5]"
648,"[ 386.   325.    48.    48.   420.5  385.    42.5 1106.5  132.5   17.
   59.5   38.   167.   294.   170.5  449.   166.5   37. ]"
653,"[ 868.5 1056.   451.   653.5 1695.5  316.5   11.  1331.   595.    84.
  484.   363.5  262.5  835.5 1044.   705.    95.5  134. ]"
695,"[ 681.  540.  195.  296. 1045.  313.    4.  680.  312.    7.  351.  171.
  141.  283.  343.  595.  126.   40.]"
707,"[653. 460. 147. 172. 738. 291.   3. 530. 187.  20.  80. 102. 115. 301.
 316. 455.  77.  53.]"
757,"[ 925.   802.5  159.5  178.  1501.5  715.5  208.  2126.5  528.5  110.5
 1034.   223.   496.5  618.  1004.5 1329.   236.5   76.5]"
801,"[ 433.   283.    73.    42.5  350.   491.    67.5 1740.5  162.    31.5
   46.    24.5  206.5  353.5  232.5  537.5  225.    41. ]"
803,"[ 458.   390.5  104.5  145.  1954.5  745.5  148.  2754.   248.5  129.
  180.   174.5  398.5 1137.5  211.   827.5  199.    78.5]"
805,"[852. 766. 293. 673. 931. 192.   0. 540. 340.   0. 316. 216. 127. 325.
 611. 559.  78.  49.]"
828,"[543. 544. 133. 275. 702. 216.   7. 962. 200.  12.  81. 226.  86. 452.
 261. 365. 149. 149.]"
846,"[ 603.   394.5   32.    58.5  626.5  574.     3.5 1552.5  164.    58.
  379.5   39.   316.   474.5  376.5  976.5  193.5   78. ]"
847,"[ 970.  1018.5  446.5  437.5 2490.5 1276.   623.5 6725.5  628.5  216.
  384.5  344.   662.5 1815.5  510.  1482.5  598.5  312.5]"
848,"[732.  580.5 148.  219.  755.5 391.    4.  706.  205.   54.   45.  157.
 198.5 520.  250.  568.  148.  181. ]"
858,"[ 352.   315.    99.   138.   606.5  232.    50.5 1042.5  181.5   12.
   63.5  108.   149.   465.5  171.   380.5  100.5   14.5]"
859,"[ 742.5  482.   144.5  163.5 1083.   614.   197.  1929.5  224.    20.
  166.5   82.   312.   598.5  386.   865.5  244.    72.5]"
860,"[1010.   668.5  120.   144.5  993.5  409.     9.5  551.   398.    13.5
  639.    99.5  258.5  232.   653.5  897.5   74.5   34. ]"
871,"[ 991.   515.    41.5   43.5  359.   605.    25.  1416.5  160.5   20.5
  315.     7.   317.   227.   725.  1203.5  184.5   30. ]"
901,"[1418.  1044.5  391.5  273.5 1000.5  680.5  139.5 1540.   462.    23.
  211.5   73.   269.5  335.   797.5  972.5  207.    98.5]"
904,"[ 599.   527.   199.5  181.5  922.5  325.5   36.  1040.   257.    14.5
  188.    78.5  245.   471.   489.   616.5   73.5   16.5]"
919,"[ 970.5  574.5  140.   132.5  652.5  569.     4.5 1188.5  254.    19.5
  428.5   85.   310.   251.   673.5  988.   149.    80.5]"
927,"[ 312.  341.  105.  182.  917.  304.   32. 1410.  208.   38.  248.  136.
  187.  375.  235.  489.  150.   25.]"
939,"[1112.  1006.   314.5  459.5 1262.   337.     9.  1126.5  611.5   13.5
  414.   182.5  263.5  665.5  759.5  944.5   91.5   49.5]"
947,"[ 649.5  411.   128.   136.   485.   498.5   16.5 1174.5  175.5    7.
  112.5   33.   260.5  365.   318.5  776.   135.5   36.5]"
983,"[1195.5  785.   181.   204.5 1101.   695.    16.5 1436.5  387.    37.5
  328.    49.5  367.5  471.   670.5 1158.   146.    53.5]"
997,"[2558.5 1595.   416.5  459.5 2596.5 1460.5  128.  3306.   723.5   38.
  542.5  130.   615.  1048.5 1320.  2264.   300.5   88.5]"
1038,"[ 486.5  405.   144.   122.5  754.5  337.5   83.5 1377.5  288.5   44.
  140.    96.5  233.   572.   317.5  467.   175.5   55. ]"
1048,"[ 480.5  430.5  102.5  171.   590.5  382.    38.5 1028.   178.5   29.
   87.    58.   193.5  335.5  291.   558.5  107.    34.5]"
1067,"[ 366.5  357.5   57.   104.  1000.   162.    24.   900.   152.    15.5
   17.    67.5   87.   633.   206.5  258.   142.    23.5]"
1089,"[ 137.  117.   29.   58.  580.  271.   22. 1191.   91.   31.   69.   83.
  173.  449.   84.  317.   35.   18.]"
1146,"[ 298.  241.  113.  173.  705.  332.   57. 1344.  167.  102.   91.  286.
  189.  541.  135.  430.  172.   65.]"
1203,"[1.1510e+03 8.1750e+02 2.6300e+02 3.9250e+02 1.6925e+03 5.4200e+02
 3.4500e+01 1.0275e+03 5.5850e+02 5.0000e-01 1.3510e+03 1.6800e+02
 3.5600e+02 3.9150e+02 7.0400e+02 1.4235e+03 8.4500e+01 9.3000e+01]"
1228,"[1722.5  797.    95.5  113.5 1117.5  835.5  128.5 1403.5  324.5   48.
 1138.    59.5  439.5  198.5  899.5 1728.5  217.    94. ]"
1243,"[593.5 464.  101.5 169.  608.5 289.   37.  523.5 273.   17.5 224.5  49.5
 126.5 169.  380.5 509.5  77.   24. ]"
1273,"[526.5 458.  155.5 217.5 688.  239.   24.5 530.5 262.5   8.5 258.5  76.5
 165.5 192.5 376.5 506.   67.   24.5]"
1281,"[ 336.   302.5  269.   136.   502.   347.   138.5 1710.   238.5   65.
  121.    60.5  241.5  358.5  258.5  405.5  161.    53.5]"
1288,"[1214.   893.5  242.5  260.5  624.   271.     6.   291.   389.     0.
  220.    16.5  103.    81.5  615.   556.5   85.    14.5]"
1305,"[ 614.   611.5  177.5  378.   786.   363.     5.  1206.5  313.5   18.
   95.5  232.   176.   561.5  274.5  590.5  158.5   63. ]"
1367,"[640.5 414.5  61.5  67.5 637.5 370.   29.5 827.  221.   26.  178.   17.5
 199.5 431.5 451.5 672.5  44.   19. ]"
1401,"[1137.   758.   269.   270.  1364.5  555.5  440.  1502.   363.     9.
  587.   114.5  300.5  388.   840.5 1163.   146.    61.5]"
1405,"[ 343.  263.   66.  120. 1374.  524.   65. 1900.  208.   94.  131.  217.
  241.  812.  157.  576.  176.   66.]"
1409,"[ 895.5  573.5  119.5  143.   735.   507.5    7.  1143.   192.    15.5
   48.5   38.5  158.   367.   240.   689.5  287.   118.5]"
1436,"[317. 272.  70. 168. 576. 265.  19. 879. 131.  41. 108. 113. 109. 407.
 176. 411. 115.  67.]"
1463,"[958.5 672.  124.5 146.  826.  344.5   9.  723.5 280.5   6.5 147.   40.5
 170.5 364.5 479.  659.5 103.5  19.5]"
1474,"[ 427.5  370.    84.   111.5  872.   411.    41.5 1029.5  228.     3.5
  176.    74.   182.   294.   246.5  440.   125.    33. ]"
1477,"[ 964.   811.5  268.   256.5 1002.5  553.   178.  1594.   364.    91.
  451.   113.   323.5  407.5  561.   927.5  166.5   61.5]"
1480,"[558.  552.  112.  156.5 785.5 234.  100.  641.5 292.5  18.  281.  118.5
 161.  205.5 548.5 420.   35.   38. ]"
1484,"[304.  216.   53.   54.5 247.5 221.5   0.  386.5 100.   11.   79.    3.5
 150.5 115.  193.  358.   21.    9. ]"
1503,"[1110.   975.   418.   475.  1259.   310.5    3.   896.   675.5    2.5
  217.5  100.   167.   770.5  566.5  581.    78.5   30.5]"
1610,"[ 980.  506.   48.  114. 1018.  390.   10.  447.  167.    2.   64.   32.
   76.  246.  385.  552.   43.   46.]"
1612,"[ 792.   728.   199.5  362.5 1119.5  583.5   37.  1364.   396.    29.5
  204.5  201.   231.5  588.5  422.5  808.   144.5   96.5]"
1652,"[1878.5 1226.5  591.5  566.5 2427.5 1557.    60.  3467.   599.5  125.5
  597.5  116.   757.  1151.   894.  2459.5  249.5   73.5]"
1704,"[ 192.5  182.5   41.   116.5  779.5  292.    45.5 1106.5  117.    20.5
   71.5   88.   146.5  490.5  129.   425.5   56.5    9. ]"
1745,"[ 937.   509.    77.    54.5  903.   638.    46.5 1245.5  235.    87.
  417.5   42.   427.   379.5  599.5 1099.5   76.5   94.5]"
1748,"[2212.  1603.5  361.   585.5 3426.5 1268.   293.5 4404.   631.5   13.5
  211.5  241.   466.  1858.5  840.5 2003.5  468.5  184. ]"
1822,"[754.5 774.  407.5 389.5 850.  302.   19.5 796.  350.5  14.5 123.5 184.
 147.  269.  405.  484.5 156.5  44.5]"
1831,"[ 859.   843.   326.5  379.  2282.   570.5  148.5 1734.5  400.    11.
   99.   200.   183.5  901.5  400.5  609.   160.5   58.5]"
1833,"[ 713.5  741.5  342.   464.5 1106.   351.5   26.   637.5  368.     8.5
  132.   262.   136.5  356.   312.   510.5  106.    74. ]"
1854,"[ 253.  151.    7.   41. 1005.  264.    3. 1273.   90.    9.   46.   46.
  120.  569.   86.  343.   77.   26.]"
1866,"[ 864.   392.    20.5   15.5  486.5  573.5   43.  1280.   149.5   26.
  157.    25.   343.   346.5  454.5  986.5  135.    18. ]"
1894,"[ 757.  687.  211.  294. 1186.  433.   58. 1593.  424.   23.  559.  125.
  269.  568.  644.  871.  138.   71.]"
1899,"[ 927.5  768.   181.5  466.5 2802.   563.    30.5 1360.5  525.5   12.
  334.5  117.   286.   905.   553.   777.5   78.    85.5]"
1920,"[2123.5 1333.   328.5  535.  2327.5  984.5   30.  2579.   747.    23.
 1169.5  236.   485.   817.  1295.  2144.   181.5  109. ]"
1935,"[622.  381.   51.5  82.  470.  360.5  16.  828.5 163.5   8.  141.   37.5
 189.  258.  292.5 607.  105.   49. ]"
1974,"[988.5 491.5  55.   81.  899.  547.5   4.  728.  208.5   8.5 179.   23.5
 171.  284.5 456.  892.   92.   16.5]"
1975,"[724.5 486.   67.5 131.  639.  386.   17.5 858.  152.   18.   97.   58.5
 177.  233.  277.  632.  181.5  21.5]"
1977,"[1369.  1249.   404.5  653.  1691.5  813.5   56.5 2465.5  592.    63.5
  226.5  372.5  347.  1043.5  661.  1172.   329.   307.5]"
1991,"[ 317.   393.5  123.   180.   816.5  252.    64.5 1194.   373.    42.5
  135.5  112.5  227.5  400.   313.5  400.   106.    19.5]"
2003,"[1536.   990.5  212.   162.5  940.   942.5  136.5 3088.   505.5  133.5
  396.   155.   559.5  880.  1025.5 1619.5  342.   127.5]"
2004,"[ 539.   304.   104.    50.   537.   359.5   42.  1063.5  180.    22.
  332.5   41.   236.5  277.5  343.5  658.   107.5   41.5]"
2006,"[861.5 729.  145.5 234.5 482.5 156.    0.  533.  244.5   0.   32.5  72.5
  77.  254.5 472.5 403.  145.   36.5]"
2012,"[ 640.   354.    17.    32.   679.   698.   169.5 2085.    84.5   63.5
  171.    39.   319.   486.   257.5  965.   205.5  106. ]"
2032,"[1064.5  898.   188.5  259.  1776.5  678.    95.  2524.   603.5   16.
  424.5  136.5  389.  1296.5  659.5 1260.   229.5   51. ]"
2054,"[ 843.5  605.5   72.5  102.5 1415.5  798.5   77.  2572.5  304.    33.
  182.    89.5  342.   897.5  472.  1093.   262.    55. ]"
2058,"[ 753.   632.   233.   349.  1483.   408.    20.5  894.5  347.5    9.5
   98.5  140.5  130.   640.   275.   485.    83.5   48. ]"
2082,"[389. 260.  59. 133. 456. 285.  35. 891. 111.  41. 113.  89. 136. 356.
 194. 463.  91.  63.]"
2104,"[265.  336.  178.  252.  481.5 121.5   0.  538.  211.    1.   33.5 127.5
  53.5 277.  147.5 198.   61.5  14.5]"
2111,"[ 137.5  198.5   92.   115.   813.5  236.5    0.  1052.5  144.5  102.5
   73.5  203.   170.   950.5  104.   195.    80.5   29.5]"
2165,"[1566.5  946.5  368.   346.  1460.5 1069.   106.  2024.   521.5   53.5
  392.5  102.   481.5  698.   758.5 1734.   122.5   73. ]"
2177,"[2201.5 1837.5  367.5  912.  5716.5 1770.5  167.5 7798.5  888.   258.
  802.   939.5  945.  3417.5 1023.5 2707.5  769.   536. ]"
2287,"[964.5 729.5 325.  400.  946.5 366.5   2.  887.5 429.5  11.5 498.5 165.5
 215.  571.5 584.  819.   82.   56.5]"
2341,"[ 436.5  394.5  175.   157.  1011.   179.5   13.  1019.5  216.5    3.5
   20.5   51.5   86.5  803.5  326.   334.5   58.     7.5]"
2345,"[1402.5 1156.5  517.   506.  1729.   741.    66.  1860.5  605.    22.5
  419.   157.   342.   621.   934.5 1240.   187.    80.5]"
2379,"[342.5 341.5 132.5 202.  691.  179.5   9.5 799.  212.    4.   47.  152.
  99.5 402.  139.5 226.  134.   44.5]"
2389,"[ 907.5  590.5   91.   159.  1837.   693.   321.5 1741.   362.    27.
  558.    75.5  317.   526.   669.5 1151.    93.5   30.5]"
2403,"[1776.  1353.   606.   533.  2224.   918.   116.  2742.5  748.    38.5
  165.   132.5  378.  1021.5  911.  1362.5  227.5   54.5]"
2418,"[866.  420.5  48.5  73.  690.5 398.5  14.  497.5 165.5   0.  379.   23.
 150.  181.5 379.  861.5  47.5  23. ]"
2424,"[ 868.5  632.   226.5  191.5  542.5  535.5    8.  1190.5  309.    30.
   81.    66.   215.   387.   417.5  772.5  166.    49.5]"
2429,"[735.  668.  385.5 306.  522.5 302.   22.5 789.5 480.   28.  318.5 123.5
 243.5 262.  565.  628.5  80.   19. ]"
2444,"[949.5 869.  362.  466.5 903.  262.   10.5 594.  383.5   0.   68.  112.5
 125.  279.5 432.5 505.5  85.5  47.5]"
2451,"[520. 409.  83. 174. 974. 268.   9. 977. 221.   6.  96.  63. 112. 544.
 284. 488. 109.  49.]"
2453,"[497.5 442.5 119.  170.  894.  323.   12.  598.  264.5   7.5 163.5  60.
 108.5 250.  278.  450.   58.5  14. ]"
2460,"[388.  463.  113.  212.  957.5 178.    7.  851.  273.5   5.   76.5  95.5
  61.5 378.5 369.5 249.   40.5  12. ]"
2464,"[ 980.5  614.    85.   162.  1411.5  671.5   17.5 1294.5  192.    38.
  206.5   93.   318.5  596.5  369.5 1118.   155.    86. ]"
2469,"[1387.  1138.   355.5  548.  2471.   741.5   17.  1954.   669.5   30.5
  264.5  277.5  322.  1092.   717.5 1114.5  123.    93. ]"
2473,"[ 788.  670.  178.  228. 1135.  617.   80. 1943.  342.   93.  183.  173.
  292.  685.  512.  842.  213.   73.]"
2509,"[ 520.5  470.5   99.5  125.5  821.5  457.5   90.5 1484.   288.    73.
  144.5   93.5  273.   482.   344.5  596.   178.    49. ]"
2536,"[561.5 403.   77.5 109.5 647.5 406.5  33.  918.5 228.   18.5 132.   93.5
 139.5 395.  244.  545.  109.   30. ]"
2564,"[ 313.5  323.   104.   146.   932.5  269.5   44.5 1098.5  148.     3.
   52.5   82.   117.   641.5  194.   352.    67.5   15. ]"
2581,"[687.5 507.5  90.  141.5 750.5 323.   28.5 712.  242.5   4.5 102.5  59.
 132.  335.  254.5 512.  109.   35.5]"
2598,"[ 684.5  387.    68.5   53.   644.5  479.5   63.5 1009.5  153.5   18.
  164.5   42.   165.   224.   319.5  675.5  120.5   59. ]"
2601,"[ 472.   489.5  172.5  367.5  873.5  203.5   12.  1077.5  365.     6.
  265.   145.5  140.   468.5  400.5  628.5   52.    16. ]"
2616,"[ 507.5  367.    70.   193.   947.5  373.    11.5 1006.   177.5   17.5
  169.5   75.5  161.5  479.   195.   577.    76.5   42.5]"
2649,"[ 696.  636.  162.  292.  916.  343.   40. 1344.  264.   13.   37.  157.
  119.  508.  344.  456.  166.   60.]"
2653,"[423.5 328.5 337.5 101.5 317.5 262.5  97.5 979.  269.5  16.  181.5  20.
 254.5 278.5 469.  541.5  82.   23. ]"
2658,"[405.5 514.  286.  403.  670.5 281.    8.5 904.  330.5  41.  181.  117.
 170.5 272.  259.5 431.5  50.5  35.5]"
2660,"[1422.   717.5  123.    89.   294.5  380.     0.   637.   264.5    4.5
  302.5   22.   205.5  138.   771.  1098.5  105.    26.5]"
2669,"[966.  605.5  80.   60.  145.  187.    3.5 499.  345.   10.  505.    0.
 279.  102.  735.5 989.5  40.5   8.5]"
2679,"[1212.5  819.   136.   185.5  636.5  345.5    0.   725.5  265.5    0.
   59.    21.   124.   277.   550.   767.   143.    70. ]"
2685,"[ 635.5  420.    53.5   87.   752.5  484.5   26.5 1292.5  221.    46.5
  292.    58.5  267.5  388.5  392.   721.5  136.    42.5]"
2719,"[ 829.   681.5  207.   278.  1087.5  432.5   70.5 1095.   275.5   19.5
  199.    90.5  201.5  337.5  399.   703.   154.5  100. ]"
2738,"[636.  396.5  33.5  43.  421.5 339.5 105.5 763.   94.5  12.5 138.5  16.5
 123.5 188.5 351.  596.5 111.5  23. ]"
2766,"[ 435.5  238.5   71.5   64.5  779.   675.   150.5 1561.5  185.   141.
  274.    41.   407.   356.5  361.   828.    88.5   34. ]"
2775,"[ 857.   756.   126.5  361.5 2267.5  658.5  125.5 3058.   410.5   60.
  940.   141.5  566.  1467.5  630.  1593.5  187.    60. ]"
2778,"[1095.   551.5   88.5  137.5 1195.   641.5   19.   941.5  253.5   10.5
  308.    25.   267.   366.5  490.  1110.   129.    24.5]"
2789,"[ 663.5  497.   125.   171.5  510.   335.    40.  1091.5  216.     6.5
   76.5   39.5  156.   308.5  333.5  499.5  175.    22.5]"
2806,"[319.  445.5 348.5 426.5 817.5 141.5  35.5 387.  330.    1.  209.5 125.5
  70.5 163.  237.5 228.5  54.   29.5]"
2811,"[829.5 734.5 249.5 372.  763.  302.5 100.  837.5 323.5   6.   62.  124.5
  93.5 304.5 347.5 522.  135.   42.5]"
2820,"[610. 574.  72. 161. 388. 308.   0. 825. 185.  41. 124.  76. 205. 292.
 339. 629. 164.  70.]"
2827,"[388.  276.5 105.5 143.5 913.  363.5  36.  887.  153.5   4.5 131.5  98.
  93.5 352.5 200.  445.5  32.    9. ]"
2834,"[ 940.5  706.5  183.5  227.5 1387.   488.    25.5 1210.   281.     8.
  183.    45.5  207.   395.   555.   811.   127.    38.5]"
2878,"[ 549.   397.    78.   158.5 1247.   353.    65.5 1025.   158.    19.5
   43.5  122.   147.   590.5  223.   476.   140.    39. ]"
2883,"[ 349.   334.   166.   281.  1167.   293.5   59.5 1329.5  278.5    0.
  164.   113.   172.5  776.5  153.5  536.5   44.5    4.5]"
2887,"[ 460.5  627.5  353.5  707.5 1166.   233.5   87.   886.   401.5    8.
  112.5  270.5  101.   431.   263.   365.5   86.5   48. ]"
2932,"[ 790.5  673.   216.   254.   879.   430.5   25.5 1182.   432.    26.
  354.5  112.   239.5  330.   417.   775.5  158.5   39. ]"
2938,"[ 834.5  483.5  257.    41.5  782.5  781.    74.  2423.5  461.5   76.
  958.    78.   508.   464.   723.5 1215.5  216.5   85. ]"
2951,"[ 672.5  478.5   76.   165.5 1227.5  454.5   53.5 1236.5  300.    23.5
  459.5  118.   237.   674.   376.5  848.5  130.5   45.5]"
2962,"[508.5 353.   42.5 100.  593.5 323.   35.  810.5 184.5  28.  361.5  70.
 174.  387.5 272.5 568.  100.5 138. ]"
2974,"[ 594.5  366.    17.    12.5  271.5  445.5    6.5 1051.    83.5   18.
   75.    17.5  160.   118.5  371.   589.   165.5   75. ]"
2982,"[1727.5 1284.5  325.   572.  3364.  1125.5  187.  3521.5  669.5   93.
 1284.5  364.5  615.5 1252.5 1100.5 2090.   313.5  182. ]"
3009,"[1243.5  782.5  178.5  205.5 1053.5  578.     8.5  823.5  210.     9.
   70.5   76.   180.   347.5  546.   876.5  103.    59.5]"
3013,"[1718.  1004.5  267.5  183.   858.   738.    54.  1535.5  463.    27.
  509.5   76.   379.5  318.   856.5 1375.5  274.    89. ]"
3028,"[843.  706.  254.  323.  928.5 353.5  25.  766.  410.5  10.  339.  140.5
 132.  241.5 547.  657.   50.5  34. ]"
3029,"[ 486.5  360.5   98.5  142.5 1390.5  430.5   83.   771.   157.5    5.5
   50.    87.    83.5  416.   157.   381.    56.    19.5]"
3040,"[ 237.5  267.    73.   102.   794.5  303.5  113.5 1229.   144.    55.
   17.   138.   164.5  467.5  101.5  331.5  109.5   47. ]"
3046,"[1127.5  448.5    4.    27.5  873.5  774.5   69.  1148.   125.    11.
  122.    18.5  161.   239.   332.   825.5  253.5   68.5]"
3055,"[537.5 492.   66.  129.5 455.  162.5   1.  422.  188.5   3.5 116.5  79.
  91.5 229.  334.  362.   72.5  50. ]"
3062,"[1001.5  797.   269.5  334.5 1885.5  774.5   18.5 2129.5  526.5   43.5
  602.   273.   416.   894.   659.  1163.5  162.5   72.5]"
3083,"[845.5 489.   67.   99.  862.  501.    0.  843.  264.   10.5 267.    2.5
 294.5 283.  409.  932.5  52.   33.5]"
3116,"[ 601.   537.   179.   164.   670.5  342.5    0.  1221.   347.    21.
  166.    63.5  225.   433.   440.   585.    61.    23. ]"
3123,"[ 325.5  222.    22.    83.   564.5  444.5   78.  1543.   133.    12.
  131.5   58.5  196.5  475.   196.5  626.    77.5   20. ]"
3128,"[ 917.5  804.5  225.5  459.5 1600.5  495.    28.5 1988.5  436.5   19.
  277.5  256.   272.   873.5  415.5 1014.   169.5   87.5]"
3148,"[ 834.   589.    99.   132.5 1191.5  487.5   50.  1788.5  309.5   29.
  424.5   95.   326.5  681.   650.5  977.   190.5   43. ]"
3150,"[2174.  1405.   422.   507.  3346.  1198.    42.5 3902.5  911.5   22.
 1010.   135.5  713.  1547.  1409.  2495.   291.5  124. ]"
3154,"[415.5 316.5  58.  119.5 699.5 283.5  19.5 732.5 152.    4.  106.   47.5
 107.  277.5 175.  414.5  95.5  62. ]"
3164,"[ 378.5  567.5  195.5  503.  1500.   191.5   18.5 1968.5  438.5    6.
  130.   263.5  147.5  995.   291.   407.5  116.    17. ]"
3180,"[1105.5  915.   704.   631.  1425.5  395.5   83.   772.   549.    11.5
  540.5  202.5  184.   231.5  666.5  752.    60.5   36.5]"
3186,"[374.  402.  112.  102.  847.5 346.5  17.  777.5 150.5 101.   75.5 132.5
 199.  410.  228.5 454.  117.5  91. ]"
3225,"[ 768.   650.   335.   295.  1023.   523.   162.  1399.   372.    42.
  230.   118.5  309.5  456.   548.   774.5  109.5   53. ]"
3243,"[643.  492.5 131.  133.  583.  408.   23.  963.  300.    7.5 198.5  25.5
 301.5 249.  428.5 648.5  81.   53.5]"
3248,"[ 589.  417.   78.  162. 1085.  442.   32. 1125.  248.   28.  430.   82.
  231.  423.  371.  717.  117.   53.]"
3263,"[ 439.5  498.5  121.5  288.  1427.5  207.5   18.  1069.   424.     4.
  277.5  142.   213.   777.   327.5  547.5   10.    11. ]"
3266,"[ 740.  539.  176.  181. 1046.  552.   29. 1389.  290.   41.  271.   72.
  216.  426.  511.  838.  130.   82.]"
3272,"[1382.   908.5  238.5  218.   958.5  639.   100.  2107.   520.    27.5
  966.    54.   535.   501.  1227.5 1755.   214.    27.5]"
3274,"[ 388.   469.   210.   286.5 1068.5  400.    19.5 1073.5  283.    52.
  210.5  135.   237.   466.5  246.5  572.    55.    24. ]"
3279,"[1393.   990.   263.5  459.  1340.   374.    13.5  688.   454.    11.5
  127.    27.   100.5  408.   683.   709.5  117.5   45. ]"
3394,"[1803.  1074.   357.   570.5 2183.5  891.5   90.  1724.   695.     9.
 1626.5  181.   357.   436.   891.  1816.5  120.    42.5]"
3403,"[1.2105e+03 7.9700e+02 1.6300e+02 2.9350e+02 1.6955e+03 6.9750e+02
 5.0000e-01 1.4125e+03 4.0000e+02 2.3500e+01 3.0000e+02 1.1150e+02
 3.2300e+02 8.9450e+02 5.4450e+02 1.1440e+03 1.4450e+02 9.6500e+01]"
3445,"[1176.   765.   217.   173.  1005.5 1076.    58.  2232.   360.    76.
  374.5   77.5  349.   395.   655.5 1189.5  179.   153.5]"
3446,"[ 363.  299.   42.  135. 1402.  290.   27. 1384.  187.    9.  288.   73.
  115.  410.  248.  366.  148.   36.]"
3483,"[728. 371.  24.  32. 204. 165.   3. 303. 119.   3. 427.   4.  79.  86.
 436. 557.  64.  45.]"
3484,"[1319.   722.5  117.   128.5  747.5  651.     0.  1170.   379.    11.
  562.5    0.   386.   226.   799.5 1524.    73.5   36.5]"
3503,"[1038.5  737.5  294.5  313.5 1768.5  976.5  633.5 3678.5  419.   133.
  312.5  315.5  535.  1158.   519.5 1199.5  384.   125. ]"
